,value.Total.Energy.Emissions..CO2...Energy.,VALUE
value.Closed.shrubland.Emissions..CH4...Burning...savanna.,0.206682088,FALSE
value.Closed.and.open.shrubland.Biomass.burned..dry.matter.,0.206682088,FALSE
value.Closed.and.open.shrubland.Emissions..CO2eq..from.CH4..Burning...savanna.,0.206682088,FALSE
value.Closed.and.open.shrubland.Emissions..CO2eq...Burning...savanna.,0.206684814,FALSE
value.Closed.and.open.shrubland.Emissions..CO2eq..from.N2O..Burning...savanna.,0.207678859,FALSE
value.Cattle..non.dairy.Implied.emission.factor.for.CH4..Enteric.,0.20802258,FALSE
value.Closed.and.open.shrubland.Emissions..CH4...Burning...savanna.,0.208456344,FALSE
value.Closed.and.open.shrubland.Burned.Area,0.212436921,FALSE
value.Open.shrubland.Emissions..N2O...Burning...savanna.,0.221439984,FALSE
value.Buffaloes.Implied.emission.factor.for.CH4..Manure.management.,0.22152503,FALSE
value.Open.shrubland.Emissions..CO2eq..from.CH4..Burning...savanna.,0.221538271,FALSE
value.Open.shrubland.Emissions..CO2eq..from.N2O..Burning...savanna.,0.221635977,FALSE
value.Open.shrubland.Biomass.burned..dry.matter.,0.221682742,FALSE
value.Open.shrubland.Emissions..CO2eq...Burning...savanna.,0.223289993,FALSE
value.Open.shrubland.Emissions..CH4...Burning...savanna.,0.223374233,FALSE
value.Open.shrubland.Burned.Area,0.22360106,FALSE
value.Mules.Direct.emissions..N2O...Manure.on.pasture.,0.224522999,FALSE
value.Mules.Emissions..N2O...Manure.on.pasture.,0.225344424,FALSE
value.Mules.Indirect.emissions..N2O...Manure.on.pasture.,0.225998426,FALSE
value.Mules.Indirect.emissions..CO2eq...Manure.on.pasture.,0.226719076,FALSE
value.Mules.Manure..N.content.that.leaches...Manure.on.pasture.,0.226719076,FALSE
value.Mules.Manure..N.content.that.volatilises...Manure.on.pasture.,0.226719076,FALSE
value.Mules.Manure..N.content...Manure.on.pasture.,0.226719076,FALSE
value.Mules.Direct.emissions..CO2eq...Manure.on.pasture.,0.226719076,FALSE
value.Mules.Emissions..CO2eq...Manure.on.pasture.,0.229694533,FALSE
value.Beans..dry.Indirect.emissions..N2O...Crop.residues.,0.231489479,FALSE
value.Ducks.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.231950465,FALSE
value.Open.shrubland.Implied.emission.factor.for.N2O..Burning...savanna.,0.236695471,FALSE
value.Mules.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.238179606,FALSE
value.Mules.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.239910096,FALSE
value.Swine..market.Implied.emission.factor.for.CH4..Manure.management.,0.240729571,FALSE
value.Beans..dry.Direct.emissions..N2O...Crop.residues.,0.241311684,FALSE
value.Beans..dry.Indirect.emissions..CO2eq...Crop.residues.,0.241614071,FALSE
value.Beans..dry.Emissions..N2O...Crop.residues.,0.241662284,FALSE
value.Beans..dry.Residues..Crop.residues.,0.241662284,FALSE
value.Beans..dry.Direct.emissions..CO2eq...Crop.residues.,0.241662284,FALSE
value.Beans..dry.Emissions..CO2eq...Crop.residues.,0.242223527,FALSE
value.Ducks.Indirect.emissions..N2O...Manure.on.pasture.,0.243453918,FALSE
value.Buffaloes.Indirect.emissions..N2O...Manure.management.,0.243890729,FALSE
value.Asses.Indirect.emissions..CO2eq...Manure.applied.,0.245220763,FALSE
value.Asses.Manure..N.content...Manure.applied.,0.245220763,FALSE
value.Asses.Manure..N.content...Manure.management.,0.246954106,FALSE
value.Asses.Emissions..CO2eq...Manure.applied.,0.24706207,FALSE
value.Asses.Direct.emissions..CO2eq...Manure.applied.,0.248467972,FALSE
value.Mules.Emissions..CH4...Manure.management.,0.249410901,FALSE
value.Mules.Emissions..CO2eq..from.CH4..Manure.management.,0.253268452,FALSE
value.Turkeys.Implied.emission.factor.for.CH4..Manure.management.,0.255064456,FALSE
value.Ducks.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.25528816,FALSE
value.Mules.and.Asses.Indirect.emissions..CO2eq...Manure.applied.,0.256071961,FALSE
value.Mules.Emissions..CO2eq...Manure.management.,0.256601523,FALSE
value.Mules.and.Asses.Manure..N.content...Manure.applied.,0.256601523,FALSE
value.Mules.and.Asses.Manure..N.content...Manure.management.,0.258163434,FALSE
value.Mules.and.Asses.Direct.emissions..CO2eq...Manure.applied.,0.258300411,FALSE
value.Mules.and.Asses.Emissions..CO2eq...Manure.applied.,0.258501317,FALSE
value.Swine..breeding.Implied.emission.factor.for.CH4..Manure.management.,0.258897422,FALSE
value.Mules.Emissions..CO2eq...Manure.applied.,0.258950971,FALSE
value.Mules.Emissions..CH4...Enteric.,0.25896523,FALSE
value.Mules.Manure..N.content...Manure.applied.,0.25896523,FALSE
value.Mules.Manure..N.content...Manure.management.,0.259625074,FALSE
value.Mules.Emissions..CO2eq...Enteric.,0.259625074,FALSE
value.Mules.Stocks,0.264305627,FALSE
value.Mules.Direct.emissions..CO2eq...Manure.applied.,0.266357179,FALSE
value.Ducks.Emissions..N2O...Manure.on.pasture.,0.266446551,FALSE
value.Ducks.Direct.emissions..N2O...Manure.on.pasture.,0.266560492,FALSE
value.Goats.Indirect.emissions..CO2eq...Manure.applied.,0.266797222,FALSE
value.Goats.Manure..N.content...Manure.applied.,0.266797222,FALSE
value.Goats.Direct.emissions..CO2eq...Manure.applied.,0.266797222,FALSE
value.Goats.Emissions..CO2eq...Manure.applied.,0.266797222,FALSE
value.Goats.Manure..N.content...Manure.management.,0.269683582,FALSE
value.Ducks.Manure..N.content.that.leaches...Manure.on.pasture.,0.269683582,FALSE
value.Ducks.Manure..N.content.that.volatilises...Manure.on.pasture.,0.269683582,FALSE
value.Ducks.Manure..N.content...Manure.on.pasture.,0.269683582,FALSE
value.Ducks.Direct.emissions..CO2eq...Manure.on.pasture.,0.269683582,FALSE
value.Ducks.Emissions..CO2eq...Manure.on.pasture.,0.270148212,FALSE
value.Ducks.Indirect.emissions..CO2eq...Manure.on.pasture.,0.273632351,FALSE
value.Cattle..dairy.Implied.emission.factor.for.CH4..Manure.management.,0.274334164,FALSE
value.Horses.Implied.emission.factor.for.N2O..Manure.management.,0.274588436,FALSE
value.Mules.Indirect.emissions..CO2eq...Manure.applied.,0.276746701,FALSE
value.Mules.Direct.emissions..CO2eq...Manure.management.,0.276746701,FALSE
value.Mules.Emissions..CO2eq..from.N2O..Manure.management.,0.277660466,FALSE
value.Asses.Direct.emissions..CO2eq...Manure.management.,0.277660466,FALSE
value.Asses.Emissions..CO2eq..from.N2O..Manure.management.,0.279209285,FALSE
value.Chickens..broilers.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.280783214,FALSE
value.Cattle..dairy.Implied.emission.factor.for.CH4..Enteric.,0.280822817,FALSE
value.Goats.Emissions..CH4...Manure.management.,0.280924864,FALSE
value.Chickens..broilers.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.281209692,FALSE
value.Goats.Emissions..CO2eq..from.CH4..Manure.management.,0.282565476,FALSE
value.Cattle..non.dairy.Implied.emission.factor.for.CH4..Manure.management.,0.28392156,FALSE
value.Goats.Direct.emissions..N2O...Manure.applied.,0.286315398,FALSE
value.Goats.Emissions..N2O...Manure.applied.,0.287787638,FALSE
value.Chickens..broilers.Manure..N.content.that.leaches...Manure.on.pasture.,0.287787638,FALSE
value.Chickens..broilers.Manure..N.content.that.volatilises...Manure.on.pasture.,0.287787638,FALSE
value.Chickens..broilers.Manure..N.content...Manure.on.pasture.,0.287787638,FALSE
value.Chickens..broilers.Direct.emissions..CO2eq...Manure.on.pasture.,0.287787638,FALSE
value.Chickens..broilers.Indirect.emissions..CO2eq...Manure.on.pasture.,0.287787638,FALSE
value.Chickens..broilers.Emissions..CO2eq...Manure.on.pasture.,0.287836315,FALSE
value.Chickens..broilers.Emissions..N2O...Manure.on.pasture.,0.288301904,FALSE
value.Chickens..broilers.Indirect.emissions..N2O...Manure.on.pasture.,0.288514341,FALSE
value.Chickens..broilers.Direct.emissions..N2O...Manure.on.pasture.,0.290530483,FALSE
value.Mules.and.Asses.Direct.emissions..CO2eq...Manure.management.,0.290530483,FALSE
